"Age","Race"
52.62149048,"WHITE"
37.97672653,"WHITE"
46.85557938,"BLACK"
40.75291061,"WHITE"
56.46817398,"WHITE"
51.56468201,"WHITE"
35.575634,"WHITE"
48.71184158,"WHITE"
30.66666603,"WHITE"
56.82409286,"BLACK"
29.91649628,"WHITE"
59.15400314,"WHITE"
42.71321106,"WHITE"
23.99726295,"BLACK"
25.56605148,"WHITE"
60.28473663,"WHITE"
41.71389389,"WHITE"
33.80971909,"HISP"
36.20533752,"WHITE"
52.73921967,"BLACK"
37.14442062,"WHITE"
35.46885681,"HISP"
38.91307449,"BLACK"
57.07323837,"WHITE"
54.91033554,"BLACK"
38.84188843,"BLACK"
36.01916504,"WHITE"
57.42094421,"WHITE"
52.7693367,"AMERICAN INDIAN"
34.73511124,"WHITE"
28.20533943,"BLACK"
54.02874756,"BLACK"
55.06912994,"WHITE"
46.02600861,"BLACK"
39.55373001,"WHITE"
50.76796722,"WHITE"
33.51676941,"WHITE"
44.89253998,"WHITE"
49.80698013,"WHITE"
47.37577057,"HISP"
30.62833595,"WHITE"
56.50102615,"HISP"
31.60301208,"WHITE"
61.782341,"WHITE"
39.15400314,"HISP"
30.32991028,"BLACK"
50.66666794,"WHITE"
36.8432579,"WHITE"
54.85557938,"WHITE"
33.85352325,"WHITE"
67.83573151,"WHITE"
48.46817398,"WHITE"
37.7193718,"HISP"
30.95140266,"WHITE"
51.75359344,"WHITE"
51.89322281,"WHITE"
35.31279755,"BLACK"
66.55167389,"WHITE"
22.44763947,"WHITE"
33.81793213,"BLACK"
43.05270386,"WHITE"
58.65297699,"BLACK"
42.35181427,"BLACK"
43.4907608,"WHITE"
35.76454544,"BLACK"
65.6344986,"BLACK"
49.804245,"BLACK"
22.75427818,"WHITE"
31.85489464,"WHITE"
30.78439331,"BLACK"
32.95824814,"WHITE"
40.85694885,"WHITE"
56.78576279,"WHITE"
51.2197113,"WHITE"
56.31485367,"WHITE"
32.87063599,"WHITE"
